"submission_date","state","tot_cases","conf_cases","prob_cases","new_case","pnew_case","tot_death","conf_death","prob_death","new_death","pnew_death","created_at","consent_cases","consent_deaths","consent_cases.boolean","consent_deaths.boolean","season"
2021-07-08,"NE",225307,NA,NA,102,0,2262,NA,NA,0,0,2021-07-10,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-12-02,"ME",14641,12922,1719,511,89,220,218,2,2,0,2020-12-04,"Agree","Agree",TRUE,TRUE,"fall"
2021-01-21,"MS",263617,168794,94823,2060,1115,6443,4613,1830,34,14,2021-01-23,"Agree","Agree",TRUE,TRUE,"winter"
2020-07-15,"ME",3546,3205,341,23,1,114,113,1,0,0,2020-07-17,"Agree","Agree",TRUE,TRUE,"summer"
2021-03-21,"VI",2858,NA,NA,6,0,25,NA,NA,0,0,2021-03-22,"","",NA,NA,"spring"
2020-01-28,"AL",0,0,0,0,0,0,0,0,0,0,2020-01-30,"Agree","Agree",TRUE,TRUE,"winter"
2021-04-19,"NE",217320,NA,NA,451,0,2222,NA,NA,7,0,2021-04-21,"Not agree","Not agree",FALSE,FALSE,"spring"
2022-01-08,"ND",181576,147398,34178,930,54,2029,NA,NA,1,0,2022-01-10,"Agree","Not agree",TRUE,FALSE,"winter"
2021-08-02,"WI",689285,622867,66418,697,56,8295,7443,852,3,1,2021-08-03,"Agree","Agree",TRUE,TRUE,"summer"
2021-07-27,"CA",3976872,3815702,161170,7731,0,63811,63811,0,5,0,2021-07-29,"Agree","Agree",TRUE,TRUE,"summer"
2021-07-06,"WI",678048,613152,64896,40,5,8144,7323,821,0,0,2021-07-07,"Agree","Agree",TRUE,TRUE,"summer"
2021-11-25,"MD",581611,NA,NA,1115,0,11173,10942,231,8,0,2021-11-27,"N/A","Agree",NA,TRUE,"fall"
